"id","name","type","desc","atk","def","level","rank","linkval","race","attribute","archetype","cardmarket_price","tcgplayer_price","amazon_price","coolstuffinc_price","image_url","image_url_small"
"9999961","Beast Rage","Normal Spell","All monsters you control gain 200 ATK for each of your removed from play Beast-Type and Winged Beast-Type monsters.","None","None","","","","Normal","","","","","","","",""
"99995595","Recycling Batteries","Normal Spell","Target 2 Thunder-Type monsters with 1500 or less ATK in your Graveyard; add those targets to your hand.","None","None","","","","Normal","","","","","","","",""
"99991455","Raijin the Breakbolt Star","Fusion Effect Monster","1 Level 5 or higher LIGHT Warrior monster + 1 EARTH Warrior monster If this card attacks a Defense Position monster, inflict piercing battle damage. If this card battles a monster without a Level, any battle damage this card inflicts to your opponent is doubled. During the End Phase, if this card is in the GY because it was destroyed by battle or card effect and sent there this turn: You can target 2 Level 7 or lower Warrior monsters in your GY; Special Summon them. You can only use this effect of """"Raijin the Breakbolt Star"""" once per turn.","3000","2200","","","","Warrior","LIGHT","","","","","","",""
"99989863","Fiendsmith in Paradise","Normal Trap","Target 1 Level 7 or higher LIGHT Fiend monster you control; send all cards on the field to the GY that are not that monster. If your opponent Special Summons a monster(s), while this card is in your GY: You can banish this card; send 1 """"Fiendsmith"""" monster from your Deck or Extra Deck to the GY. You can only use each effect of """"Fiendsmith in Paradise"""" once per turn.","None","None","","","","Normal","","","","","","","",""
"99984170","RESCUE!","Quick-Play Spell","(This card is always treated as a """"Rescue-ACE"""" card.) Target 1 """"Rescue-ACE"""" monster in your GY, or if you control """"Rescue-ACE Hydrant"""", you can target 1 monster in your opponent's GY instead; Special Summon it to your field. You can only activate 1 """"RESCUE!"""" per turn.","None","None","","","","Quick-Play","","","","","","","",""
"9995766","Imperial Custom","Continuous Trap","Face-up Continuous Trap Cards cannot be destroyed, except """"Imperial Custom"""". You can only control 1 """"Imperial Custom"""".","None","None","","","","Continuous","","","","","","","",""
"99946920","Taotie, Shadow of the Yang Zing","Effect Monster","When this card you control is destroyed by battle or card effect and sent to your Graveyard: You can Special Summon 1 """"Yang Zing"""" monster from your Deck in Defense Position, except """"Taotie, Shadow of the Yang Zing"""". You can only use this effect of """"Taotie, Shadow of the Yang Zing"""" once per turn. Once per turn, during your opponent's Main Phase or Battle Phase, you can: Immediately after this effect resolves, Synchro Summon 1 Synchro Monster, using only """"Yang Zing"""" monsters you control (this is a Quick Effect). Possession of a Synchro Monster on the field that used this card as a Synchro Material cannot switch.","2200","0","","","","Wyrm","DARK","","","","","","",""
"99941223","Darklord Dance","Normal Spell","Fusion Summon 1 DARK Fairy Fusion Monster from your Extra Deck, by banishing its materials from your hand, field, and/or GY, and if you do, it gains 1000 ATK. If Summoning a """"Darklord"""" monster this way, you can also use """"Darklord"""" monsters your opponent controls as material. You can only activate 1 """"Darklord Dance"""" per turn.","None","None","","","","Normal","","","","","","","",""
"99940363","Frost Blast of the Monarchs","Normal Spell","If you control a monster with 2400 or more ATK and 1000 DEF: Target 1 Set card on the field; destroy it. You can banish this card and 1 """"Monarch"""" Spell/Trap Card from your Graveyard, then target 1 Set card on the field; destroy it.","None","None","","","","Normal","","","","","","","",""
"99937842","T.G. Star Guardian","Synchro Tuner Effect Monster","1 Tuner + 1+ non-Tuner """"T.G."""" monsters Once per Chain, during your opponent's Main Phase, you can (Quick Effect): Immediately after this effect resolves, Synchro Summon using this card you control. You can only use each of the following effects of """"T.G. Star Guardian"""" once per turn. ● If this card is Special Summoned: You can target 1 """"T.G."""" monster in your GY; add it to your hand. ● During your Main Phase: You can Special Summon 1 """"T.G."""" monster from your hand.","100","2200","","","","Warrior","LIGHT","","","","","","",""
